sampid,famid,ssex,Plate,Tray,area_wk3,perim_wk3,circ_wk3,Days_gam,Total_gam
P_24_6_4,34,m,5C,Tray 12,0.930924089,5.028788592,0.462356695,22,0
P_24_6_13,34,m,30B,Tray 2,0.821729625,8.601937176,0.139484532,7,19
P_24_6_4,34,m,5B,Tray 2,1.108924412,5.855518935,0.406219535,22,1
P_24_6_13,34,m,30C,Tray 3,0.950776805,8.989977803,0.147757991,22,11
P_24_6_14,34,m,20A,Tray 4,0.946813501,5.273827941,0.42756502,22,0
P_24_6_14,34,m,20B,Tray 4,0.990835135,5.241608933,0.452962038,22,0
P_24_6_14,34,m,20C,Tray 4,0.829434542,4.744534876,0.462790537,22,3
P_24_6_4,34,m,5A,Tray 8,1.070951794,5.449451806,0.452953823,22,0
P_4_11_26,35,f,23A,Tray 11,0.595287408,4.907244232,0.310485261,11,2
P_4_11_6,35,f,22A,Tray 12,0.73217071,4.993004641,0.368874005,22,3
P_4_11_26,35,f,23B,Tray 14,0.392665735,4.029326697,0.303771959,22,0
P_4_11_26,35,f,23C,Tray 15,0.163214845,1.844555055,0.602512487,22,14
P_4_11_6,35,f,22B,Tray 2,0.627455323,4.293536019,0.427506012,22,1
P_4_11_6,35,f,22C,Tray 8,0.786865215,5.77621578,0.296212355,22,14
P_4_11_19,35,f,25A,Tray 8,0.814685259,5.329050918,0.360312856,22,2
P_4_11_19,35,f,25B,Tray 8,0.834940639,5.499831842,0.346694073,22,0
P_4_11_19,35,f,25C,Tray 8,0.774531918,5.437344454,0.329044978,22,3
P_4_11_10,35,m,24A,Tray 1,0.71244015,4.306383265,0.482517054,22,17
P_4_11_28,35,m,28A,Tray 1,1.12959603,5.905159077,0.406864309,22,2
P_4_11_15,35,m,30A,Tray 1,0.591260763,5.529225802,0.242907009,7,6
P_4_11_1,35,m,14C,Tray 12,0.858489725,4.420394162,0.551826748,22,0
P_4_11_1,35,m,14B,Tray 2,0.910085071,5.458128742,0.383693179,22,5
P_4_11_10,35,m,24B,Tray 2,0.615013443,3.644043856,0.581710708,22,6
P_4_11_28,35,m,28B,Tray 2,0.91581286,6.406672496,0.280240778,22,12
P_4_11_15,35,m,30B,Tray 2,0.591075266,5.898903612,0.213348614,22,1
P_4_11_10,35,m,24C,Tray 3,0.593075015,3.690858949,0.546819976,22,17
P_4_11_28,35,m,28C,Tray 3,0.635504088,5.942221026,0.226053057,22,8
P_4_11_15,35,m,30C,Tray 3,0.616108328,6.166476088,0.203503843,22,1
P_4_11_2,35,m,20A,Tray 4,0.422091913,5.927557678,0.150884662,22,6
P_4_11_2,35,m,20B,Tray 4,0.412993505,4.946055021,0.212038623,22,5
P_4_11_2,35,m,20C,Tray 4,0.351268207,4.604089594,0.208133003,22,5
P_4_11_28,35,m,17A,Tray 7,1.090162057,6.29663012,0.345353878,22,1
P_4_11_28,35,m,17B,Tray 7,1.181675478,6.272617206,0.377216162,22,1
P_4_11_28,35,m,17C,Tray 7,0.716530136,5.353601937,0.314001662,22,0
P_4_11_1,35,m,14A,Tray 8,0.782024192,4.965359521,0.39839,22,0
P_6_1_4,36,f,7A,Tray 10,0.189591631,2.306383265,0.44765748,22,1
P_6_1_10,36,f,14C,Tray 12,0.512044443,3.516311293,0.52014289,22,0
P_6_1_4,36,f,7B,Tray 12,0.167540095,2.393421672,0.367341469,22,1
P_6_1_10,36,f,14B,Tray 2,0.61686389,4.429003834,0.394972515,22,1
P_6_1_4,36,f,7C,Tray 2,0.441754607,2.853164727,0.681580308,22,3
P_6_1_10,36,f,14A,Tray 8,1.069865957,5.723952378,0.410135143,22,0
P_6_1_11,36,f,31A,Tray 9,0.739767043,8.019102711,0.144488428,22,0
P_6_1_5,36,f,31A,Tray 9,0.933873946,9.337593328,0.134526545,22,0
P_6_1_11,36,f,31B,Tray 9,0.494309109,5.245577453,0.225632495,22,0
P_6_1_5,36,f,31B,Tray 9,0.863493623,7.872401964,0.17499847,22,0
P_6_1_11,36,f,31C,Tray 9,0.334387969,3.283648349,0.389517523,22,0
P_6_1_5,36,f,31C,Tray 9,0.535123,10.40889218,0.062034636,22,0
P_6_1_9,36,m,21A,Tray 10,0.612941304,4.37559696,0.402099843,22,1
P_6_1_9,36,m,21B,Tray 10,0.309780192,3.990986749,0.244277076,22,0
P_6_1_9,36,m,21C,Tray 10,0.362013467,3.610412323,0.348819504,22,0
P_6_1_13,36,m,22A,Tray 12,0.267138476,2.673168763,0.469540792,22,0
P_6_1_13,36,m,22B,Tray 2,0.39336248,3.573619426,0.386870819,22,2
P_6_1_19,36,m,17A,Tray 7,0.413038748,3.073249479,0.549268637,7,4
P_6_1_19,36,m,17B,Tray 7,0.296085076,2.626622721,0.539027302,22,0
P_6_1_19,36,m,17C,Tray 7,0.419422564,3.006928096,0.582633355,22,0
P_6_1_13,36,m,22C,Tray 8,0.303251599,2.772314522,0.495573116,22,0
P_6_1_17,36,m,31A,Tray 9,0.326049647,3.132037398,0.417464448,22,3
P_6_1_17,36,m,31B,Tray 9,0.042542181,2.030671958,0.129577575,22,1
P_6_1_17,36,m,31C,Tray 9,0.221542379,2.391538306,0.486509999,22,2
P_6_18_1,37,f,10C,Tray 1,0.243241018,4.24571198,0.169482707,22,1
P_6_18_10,37,f,15B,Tray 1,0.636142017,4.017017556,0.495149405,22,2
P_6_18_7,37,f,9A,Tray 1,0.635205483,5.337526064,0.280042445,22,1
P_6_18_5,37,f,11A,Tray 10,0.873130425,8.400349768,0.155408233,22,0
P_6_18_5,37,f,11B,Tray 10,0.870049363,6.966906572,0.225140465,22,0
P_6_18_5,37,f,11C,Tray 10,0.739423195,6.644918275,0.210331065,7,6
P_6_18_1,37,f,10B,Tray 11,0.11038436,2.689042847,0.191735151,22,0
P_6_18_16,37,f,5C,Tray 12,0.43534817,3.14084886,0.554283928,22,0
P_6_18_1,37,f,10A,Tray 14,0.70585274,6.485168494,0.210795442,22,0
P_6_18_10,37,f,15A,Tray 2,0.855453907,5.166139773,0.402581626,7,1
P_6_18_16,37,f,5B,Tray 2,0.478813313,3.119391942,0.618039119,22,1
P_6_18_7,37,f,9B,Tray 2,0.568951341,4.314589359,0.383871464,22,0
P_6_18_10,37,f,15C,Tray 3,0.634662565,5.03598574,0.314313865,22,5
P_6_18_7,37,f,9C,Tray 3,0.661306285,6.887805206,0.175077597,22,0
P_6_18_16,37,f,5A,Tray 8,0.416888945,2.638191969,0.752310685,22,0
P_6_18_6,37,m,2B,Tray 1,0.932901217,6.609874218,0.268187733,22,1
P_6_18_6,37,m,2C,Tray 1,0.955373514,7.903275711,0.19210938,22,0
P_6_18_13,37,m,12A,Tray 15,1.007620362,4.640075335,0.587809379,22,1
P_6_18_6,37,m,2A,Tray 3,0.988554877,7.913230645,0.198281764,22,2
P_6_18_12,37,m,16A,Tray 4,1.136373461,6.720118383,0.316050786,22,0
P_6_18_12,37,m,16B,Tray 4,1.089858927,6.440640344,0.329990798,22,5
P_6_18_12,37,m,16C,Tray 4,1.135011641,6.637922917,0.323538186,22,1
P_6_18_13,37,m,12B,Tray 5,0.739649411,7.078899576,0.185389039,22,0
P_6_18_13,37,m,12C,Tray 9,0.625351514,8.380305374,0.111839227,22,0
P_6_2_12,38,f,10C,Tray 1,0.138335609,2.001883366,0.433556882,22,0
P_6_2_25,38,f,2B,Tray 1,0.640874456,5.411044595,0.274916227,22,1
P_6_2_25,38,f,2C,Tray 1,0.561029256,4.942691868,0.288435077,7,1
P_6_2_9,38,f,9A,Tray 1,0.252592787,3.324880608,0.286984522,22,0
P_6_2_12,38,f,10B,Tray 11,0.040470043,1.204210668,0.350524486,22,0
P_6_2_12,38,f,10A,Tray 14,1.148982741,5.022196812,0.572157623,22,0
P_6_2_9,38,f,9B,Tray 2,0.262876567,2.627631667,0.478203267,22,0
P_6_2_25,38,f,2A,Tray 3,0.948722764,6.870182283,0.25245992,22,4
P_6_2_9,38,f,9C,Tray 3,0.429706343,3.624806619,0.410763381,22,1
P_6_2_22,38,f,4A,Tray 8,0.514532819,7.12416762,0.127331092,22,0
P_6_2_22,38,f,4B,Tray 8,0.61353399,6.97410372,0.158435122,22,3
P_6_2_22,38,f,4C,Tray 8,0.513718442,6.551826192,0.150310756,22,3
P_6_2_13,38,m,3A,Tray 1,0.446916857,4.389385888,0.291345858,22,1
P_6_2_23,38,m,13A,Tray 12,0.562775644,3.856393354,0.475293945,22,0
P_6_2_3,38,m,12A,Tray 15,0.39632591,4.519539921,0.243698946,22,1
P_6_2_23,38,m,13B,Tray 2,0.363185266,3.331539652,0.410986813,22,2
P_6_2_13,38,m,3B,Tray 2,0.485486685,4.938521558,0.250019024,22,0
P_6_2_13,38,m,3C,Tray 3,0.58861856,4.389049573,0.383780248,22,1
P_6_2_3,38,m,12B,Tray 5,0.400031328,4.070020852,0.303312546,22,1
P_6_2_23,38,m,13C,Tray 8,0.387634691,2.852761149,0.598248274,22,2
P_6_2_3,38,m,12C,Tray 9,0.591930362,4.204546983,0.420554067,22,0
P_6_3_8,39,f,2B,Tray 1,1.438765439,7.33456649,0.335916036,22,0
P_6_3_8,39,f,2C,Tray 1,1.321476967,9.782874823,0.173426813,22,0
P_6_3_24,39,f,11A,Tray 10,1.059957696,6.178852492,0.348708487,22,1
P_6_3_24,39,f,11B,Tray 10,0.926372623,5.060738548,0.454305034,22,0
P_6_3_24,39,f,11C,Tray 10,1.039942104,5.549471985,0.424126565,22,0
P_6_3_11,39,f,13A,Tray 12,1.115968778,7.722136275,0.235053521,22,12
P_6_3_11,39,f,13B,Tray 2,0.893431049,9.117239524,0.134996948,7,18
P_6_3_8,39,f,2A,Tray 3,1.158447619,8.463375261,0.203132234,22,1
P_6_3_22,39,f,18A,Tray 4,0.559364307,5.121140782,0.267886581,22,0
P_6_3_22,39,f,18B,Tray 4,0.396303288,4.496334163,0.246206863,22,2
P_6_3_22,39,f,18C,Tray 7,0.47247474,4.430819937,0.30227347,22,11
P_6_3_11,39,f,13C,Tray 8,1.12021259,5.923185579,0.401032352,22,1
P_6_3_10,39,m,12A,Tray 15,0.589102662,5.051187193,0.289997129,22,5
P_6_3_12,39,m,6B,Tray 3,0.507094837,3.736126993,0.456284346,22,0
P_6_3_14,39,m,16A,Tray 4,0.734758621,4.351651308,0.487333372,22,1
P_6_3_14,39,m,16B,Tray 4,0.844360274,5.438487926,0.358559385,22,1
P_6_3_14,39,m,16C,Tray 4,0.751928416,5.969664357,0.26501247,22,0
P_6_3_12,39,m,6C,Tray 4,0.494245768,3.117575839,0.638702396,22,0
P_6_3_10,39,m,12B,Tray 5,0.640915175,9.549875563,0.088266269,22,2
P_6_3_4,39,m,4A,Tray 8,0.493399721,4.341965427,0.328712195,22,1
P_6_3_4,39,m,4B,Tray 8,0.316643586,2.985807493,0.446104626,22,2
P_6_3_4,39,m,4C,Tray 8,0.234513604,3.371964754,0.259054791,22,4
P_6_3_12,39,m,6A,Tray 8,0.516514472,3.387300733,0.565411479,7,3
P_6_3_10,39,m,12C,Tray 9,0.845590889,6.403040291,0.259046343,22,2
P_6_5_2,40,f,24A,Tray 1,0.85420067,6.904284657,0.22506718,22,1
P_6_5_10,40,f,21A,Tray 10,1.183747616,5.94053945,0.421305364,22,2
P_6_5_10,40,f,21B,Tray 10,0.943637428,5.766260846,0.356456246,22,10
P_6_5_10,40,f,21C,Tray 10,1.181467359,6.672496132,0.333299533,22,2
P_6_5_9,40,f,22A,Tray 12,0.680150078,3.963072577,0.543914129,22,3
P_6_5_9,40,f,22B,Tray 2,0.992056701,5.215779915,0.45802335,22,2
P_6_5_2,40,f,24B,Tray 2,0.361162895,5.043317414,0.17834468,22,1
P_6_5_2,40,f,24C,Tray 3,0.891137219,6.678886124,0.250914722,22,1
P_6_5_11,40,f,27A,Tray 7,1.139698837,7.998385686,0.223756191,22,10
P_6_5_11,40,f,27B,Tray 7,1.029599509,6.627160826,0.294444161,22,6
P_6_5_11,40,f,27C,Tray 7,1.240111595,6.426313311,0.377160859,22,9
P_6_5_9,40,f,22C,Tray 8,0.743458889,4.031479115,0.574536691,22,1
P_6_5_4,40,m,19A,Tray 1,0.822435419,5.964619627,0.290352746,22,0
P_6_5_20,40,m,8C,Tray 12,1.354495454,7.066792224,0.340661101,22,1
P_6_5_20,40,m,8A,Tray 15,1.275559643,6.198896886,0.416928502,22,2
P_6_5_4,40,m,19B,Tray 2,0.71647132,4.47191767,0.449987915,22,2
P_6_5_20,40,m,8B,Tray 2,1.181173278,5.671756239,0.461177529,22,6
P_6_5_4,40,m,19C,Tray 7,0.75546191,4.8810789,0.398263546,22,0
P_6_5_3,40,m,25A,Tray 8,0.668721646,6.973498352,0.172716415,22,2
P_6_5_3,40,m,25B,Tray 8,0.18893108,4.940404924,0.097222762,22,1
P_6_5_3,40,m,25C,Tray 8,0.721574753,6.047353198,0.247822252,22,0
P_6_6_17,41,f,19A,Tray 1,0.445469074,4.888208785,0.234157301,22,0
P_6_6_17,41,f,19B,Tray 2,0.755864574,6.456850743,0.22771526,22,0
P_6_6_22,41,f,18A,Tray 4,0.725936197,5.02347481,0.36130971,22,1
P_6_6_22,41,f,18B,Tray 4,0.583935889,5.071635165,0.285140429,22,0
P_6_6_22,41,f,18C,Tray 7,0.512465205,4.177170915,0.368883757,22,0
P_6_6_17,41,f,19C,Tray 7,0.379907153,5.164861774,0.178875023,22,0
P_6_6_18,41,f,27A,Tray 7,0.90230324,5.822963611,0.3342366,22,1
P_6_6_18,41,f,27B,Tray 7,0.859430784,5.135938656,0.409223805,22,0
P_6_6_18,41,f,27C,Tray 7,0.879821894,4.395035986,0.572083647,22,0
P_6_6_14,41,m,21A,Tray 10,0.552727129,3.728459003,0.49939211,22,0
P_6_6_14,41,m,21B,Tray 10,0.526201041,4.423555526,0.337752347,22,1
P_6_6_14,41,m,21C,Tray 10,0.648212903,4.50723078,0.400763094,22,0
P_6_6_25,41,m,22A,Tray 12,0.750340379,5.6805677,0.292054887,22,7
P_6_6_20,41,m,26A,Tray 12,0.72006363,4.832111388,0.38733491,22,2
P_6_6_15,41,m,8C,Tray 12,1.020392517,4.974238246,0.517968966,22,0
P_6_6_15,41,m,8A,Tray 15,0.964906257,5.112934688,0.463590227,22,0
P_6_6_25,41,m,22B,Tray 2,0.809179161,5.195130154,0.376566311,22,6
P_6_6_20,41,m,26B,Tray 2,0.861344571,6.009147777,0.299599298,22,4
P_6_6_15,41,m,8B,Tray 2,0.989514033,4.874419856,0.523077126,22,4
P_6_6_25,41,m,22C,Tray 8,0.81787038,4.894060671,0.428879632,22,4
P_6_6_20,41,m,26C,Tray 8,1.091379099,6.629515033,0.311890217,22,11
P_6_8_3,42,f,24A,Tray 1,0.752055097,4.351987624,0.49872828,22,0
P_6_8_11,42,f,28A,Tray 1,1.029934308,5.823434452,0.381452778,22,0
P_6_8_15,42,f,22A,Tray 12,0.806767699,4.961861842,0.411574828,22,2
P_6_8_15,42,f,22B,Tray 2,0.91191742,5.744938454,0.34703589,22,0
P_6_8_3,42,f,24B,Tray 2,0.717692886,4.082666308,0.540804767,22,0
P_6_8_11,42,f,28B,Tray 2,0.939719367,5.303289164,0.419659638,22,0
P_6_8_3,42,f,24C,Tray 3,0.736934819,3.776013991,0.649159664,22,0
P_6_8_11,42,f,28C,Tray 3,0.932987179,5.276316675,0.420923922,22,1
P_6_8_15,42,f,22C,Tray 8,0.913378776,6.071029798,0.311254634,22,0
P_6_8_16,42,f,25A,Tray 8,0.962064984,6.651644582,0.273108978,22,2
P_6_8_16,42,f,25B,Tray 8,0.94126216,5.594941817,0.377667045,7,6
P_6_8_16,42,f,25C,Tray 8,0.964458349,5.511535616,0.39877496,22,1
P_6_8_26,42,m,23A,Tray 11,1.021125457,6.453151275,0.307981799,8,2
P_6_8_4,42,m,29A,Tray 11,0.658867677,4.951772382,0.337494341,22,1
P_6_8_20,42,m,26A,Tray 12,0.959341343,5.366785498,0.418344752,22,6
P_6_8_26,42,m,23B,Tray 14,1.003792787,5.07634358,0.489250967,22,0
P_6_8_4,42,m,29B,Tray 14,0.638259399,4.329185444,0.427734696,22,0
P_6_8_26,42,m,23C,Tray 15,0.417436387,3.776552095,0.36761141,22,0
P_6_8_4,42,m,29C,Tray 15,0.478012508,3.427120468,0.511175651,22,1
P_6_8_20,42,m,26B,Tray 2,0.871347843,5.739221094,0.332257879,7,2
P_6_8_20,42,m,26C,Tray 8,0.823258845,5.096253447,0.398129179,22,0
P_9_11_11,43,f,21A,Tray 10,0.440112279,3.005111993,0.61211328,22,1
P_9_11_11,43,f,21B,Tray 10,0.554858084,3.556400081,0.550998396,22,1
P_9_11_11,43,f,21C,Tray 10,0.457585203,2.992466537,0.641804868,22,2
P_9_11_1,43,f,22A,Tray 12,0.557780795,3.819129616,0.480313065,22,0
P_9_11_1,43,f,22B,Tray 2,0.457408755,3.520078025,0.463649218,7,7
P_9_11_10,43,f,16A,Tray 4,1.130935229,6.361740768,0.350974396,22,2
P_9_11_10,43,f,16B,Tray 4,1.226692462,7.206430349,0.296677731,22,1
P_9_11_10,43,f,16C,Tray 4,0.604200318,4.652182686,0.350636456,22,13
P_9_11_1,43,f,22C,Tray 8,0.554812841,4.122015201,0.410125682,22,0
P_9_11_3,43,m,15B,Tray 1,0.732279294,3.695500101,0.673472639,22,0
P_9_11_14,43,m,23A,Tray 11,0.664495931,4.705118719,0.376999517,15,5
P_9_11_7,43,m,14C,Tray 12,0.563404524,3.351449519,0.630005883,22,5
P_9_11_14,43,m,23B,Tray 14,0.755308083,4.612699267,0.445865111,17,6
P_9_11_14,43,m,23C,Tray 15,0.81254978,4.603686016,0.481535405,22,6
P_9_11_7,43,m,14B,Tray 2,0.482441818,3.054617609,0.649412857,22,0
P_9_11_3,43,m,15A,Tray 2,0.591301482,3.313916728,0.676262684,22,0
P_9_11_3,43,m,15C,Tray 3,0.60784692,3.766597161,0.538127901,22,0
P_9_11_20,43,m,20A,Tray 4,0.440189193,5.074998318,0.214663008,22,4
P_9_11_20,43,m,20B,Tray 4,0.282326618,3.068204749,0.376680198,22,3
P_9_11_20,43,m,20C,Tray 4,0.501950685,4.029192171,0.388342327,22,2
P_9_11_7,43,m,14A,Tray 8,0.425313229,2.874419856,0.646544053,22,0
P_9_20_7,44,f,11A,Tray 10,0.89033189,6.656487523,0.252377901,22,6
P_9_20_7,44,f,11B,Tray 10,0.721330439,7.044057308,0.182590483,22,2
P_9_20_7,44,f,11C,Tray 10,0.807066304,7.277123831,0.191416479,22,1
P_9_20_5,44,f,21A,Tray 10,0.8026008,3.912827067,0.658427437,22,0
P_9_20_5,44,f,21B,Tray 10,0.725063003,5.107957221,0.34903653,22,0
P_9_20_5,44,f,21C,Tray 10,0.683294481,3.873612699,0.571959345,22,0
P_9_20_14,44,f,12A,Tray 15,1.207984399,11.61882021,0.112389801,7,12
P_9_20_14,44,f,12B,Tray 5,0.324343978,5.351382256,0.142253687,22,1
P_9_20_4,44,f,25A,Tray 8,0.397778217,5.56077218,0.16156989,22,10
P_9_20_4,44,f,25B,Tray 8,0.423164177,5.256070492,0.192387199,22,16
P_9_20_4,44,f,25C,Tray 8,0.239924691,3.467209255,0.250671221,22,5
P_9_20_14,44,f,12C,Tray 9,1.161130541,13.89607856,0.075524206,22,11
P_9_20_10,44,m,1A,Tray 10,0.793271652,3.986950965,0.626801151,22,5
P_9_20_9,44,m,5C,Tray 12,0.435302927,3.578731419,0.426896913,22,0
P_9_20_6,44,m,8C,Tray 12,0.792262729,4.584448779,0.473461441,22,0
P_9_20_6,44,m,8A,Tray 15,0.494376974,4.552566086,0.299595549,22,0
P_9_20_9,44,m,5B,Tray 2,0.40025302,2.831035179,0.627239969,22,0
P_9_20_6,44,m,8B,Tray 2,0.847966157,4.531109168,0.518751192,22,0
P_9_20_1,44,m,6B,Tray 3,0.515048592,4.314925674,0.347449111,22,0
P_9_20_9,44,m,18A,Tray 4,0.462720307,4.577789736,0.277329786,22,1
P_9_20_9,44,m,18B,Tray 4,0.500430514,4.449115491,0.317530951,22,0
P_9_20_1,44,m,6C,Tray 4,0.621542037,5.593058452,0.249552216,22,0
P_9_20_10,44,m,1B,Tray 5,0.776735262,3.77951167,0.682953728,22,6
P_9_20_9,44,m,18C,Tray 7,0.520405387,3.820878456,0.447718435,22,1
P_9_20_9,44,m,5A,Tray 8,0.507995177,3.369879599,0.561850096,22,0
P_9_20_1,44,m,6A,Tray 8,0.643742875,5.48113271,0.269129584,22,3
P_9_20_10,44,m,1C,Tray 9,0.763994777,3.673236026,0.711184625,22,1
P_9_3_6,45,f,1A,Tray 10,0.687425185,5.129548665,0.328138184,22,4
P_9_3_8,45,f,5C,Tray 12,1.002037351,4.967444676,0.510043799,22,1
P_9_3_8,45,f,5B,Tray 2,1.126297801,5.392950831,0.486395954,22,0
P_9_3_2,45,f,6B,Tray 3,0.778495223,4.809241945,0.422758491,22,0
P_9_3_2,45,f,6C,Tray 4,0.969168166,5.013049035,0.484378519,22,0
P_9_3_6,45,f,1B,Tray 5,0.511058142,4.053608663,0.390639641,22,3
P_9_3_11,45,f,4A,Tray 8,0.681299256,5.406336181,0.292766552,22,2
P_9_3_11,45,f,4B,Tray 8,0.775644901,6.45106612,0.234093629,22,3
P_9_3_11,45,f,4C,Tray 8,0.674815905,5.236227887,0.309127663,22,0
P_9_3_8,45,f,5A,Tray 8,1.296973249,5.828546445,0.479512723,22,0
P_9_3_2,45,f,6A,Tray 8,0.955839519,5.423488263,0.408147568,22,1
P_9_3_6,45,f,1C,Tray 9,0.566526305,3.609201587,0.546244956,22,4
P_9_3_10,45,m,10C,Tray 1,0.028023638,1.007062622,0.347057316,22,0
P_9_3_12,45,m,24A,Tray 1,0.603313551,3.727988162,0.54523493,22,0
P_9_3_10,45,m,10B,Tray 11,0.023947226,1.152619896,0.226398021,22,0
P_9_3_14,45,m,29A,Tray 11,1.008398545,6.137620233,0.336218669,22,0
P_9_3_10,45,m,10A,Tray 14,0.046003286,1.754826125,0.18763347,22,0
P_9_3_14,45,m,29B,Tray 14,0.535679491,5.191161633,0.249669537,22,0
P_9_3_14,45,m,29C,Tray 15,0.717281173,4.576242685,0.430190659,22,0
P_9_3_12,45,m,24B,Tray 2,0.199545135,2.272280891,0.4854078,22,0
P_9_3_12,45,m,24C,Tray 3,0.564522031,3.234815363,0.677597104,22,2
P_9_3_3,45,m,20A,Tray 4,0.18587264,4.152418107,0.135395102,22,0
P_9_3_3,45,m,20B,Tray 4,0.179696943,1.886728997,0.634032149,22,0
P_9_3_3,45,m,20C,Tray 4,0.336374145,3.316674514,0.384066599,22,3
P_9_7_12,46,f,11A,Tray 10,0.820254697,9.761619695,0.108117152,22,3
P_9_7_12,46,f,11B,Tray 10,0.902466116,8.607587274,0.152988108,22,1
P_9_7_12,46,f,11C,Tray 10,0.752023426,7.520952445,0.166984178,22,0
P_9_7_1,46,f,8C,Tray 12,0.842197649,4.546579673,0.511721957,22,0
P_9_7_1,46,f,8A,Tray 15,0.779893238,5.123225937,0.373196684,22,0
P_9_7_1,46,f,8B,Tray 2,0.814640016,4.133988027,0.598710603,22,0
P_9_7_3,46,f,6B,Tray 3,0.774301178,3.924194525,0.631536571,22,0
P_9_7_21,46,f,20A,Tray 4,0.461231805,4.504674783,0.28548415,22,2
P_9_7_21,46,f,20B,Tray 4,0.648095271,5.222506222,0.298449297,22,12
P_9_7_21,46,f,20C,Tray 4,0.541334891,4.170780924,0.390859707,22,4
P_9_7_3,46,f,6C,Tray 4,0.721280672,3.775072308,0.63568708,22,0
P_9_7_3,46,f,6A,Tray 8,0.945130454,3.975785296,0.750992414,22,0
P_9_7_4,46,m,1A,Tray 10,0.621238907,3.919351584,0.507948684,22,4
P_9_7_18,46,m,5C,Tray 12,0.412269614,3.372233806,0.455339798,22,0
P_9_7_18,46,m,5B,Tray 2,0.423960457,3.15423421,0.535213569,22,0
P_9_7_4,46,m,1B,Tray 5,0.519921285,5.010694827,0.260094597,22,6
P_9_7_11,46,m,25A,Tray 8,0.555717705,3.556131028,0.551935545,22,1
P_9_7_11,46,m,25B,Tray 8,0.446808273,4.006524517,0.349603068,22,2
P_9_7_11,46,m,25C,Tray 8,0.566110068,3.634290711,0.538333231,22,2
P_9_7_10,46,m,4A,Tray 8,0.516170623,5.916324746,0.185216177,22,2
P_9_7_10,46,m,4B,Tray 8,0.617180592,4.415282169,0.397635338,22,3
P_9_7_10,46,m,4C,Tray 8,0.542022588,4.266899845,0.373922955,22,2
P_9_7_18,46,m,5A,Tray 8,0.458159792,3.44010224,0.486254812,22,0
P_9_7_4,46,m,1C,Tray 9,0.465190585,3.513418982,0.473326336,22,7
