sampid,famid,ssex,Plate,Tray,area_wk3,perim_wk3,circ_wk3,Days_gam,Total_gam
P_20_22_3,25,m,20B,Tray 4,0.598078913,3.495796058,0.614689724,22,0
P_20_22_3,25,m,20C,Tray 4,0.588699998,3.437411717,0.625778398,22,0
P_21_15_12,26,f,30A,Tray 1,0.576470761,5.172798816,0.270592495,22,8
P_21_15_6,26,f,30A,Tray 1,0.700799075,6.055088451,0.240072368,22,2
P_21_15_6,26,f,29A,Tray 11,0.427136529,2.931929777,0.624092876,7,1
P_21_15_8,26,f,29A,Tray 11,0.645050404,4.498890159,0.400287945,22,7
P_21_15_6,26,f,29B,Tray 14,0.696754333,3.966032152,0.556361227,7,2
P_21_15_8,26,f,29B,Tray 14,0.602901838,4.688504742,0.344482789,22,11
P_21_15_6,26,f,29C,Tray 15,0.520627079,3.41420596,0.560966543,22,2
P_21_15_8,26,f,29C,Tray 15,0.672123935,4.038945315,0.517491302,22,5
P_21_15_12,26,f,30B,Tray 2,0.517383141,5.82403982,0.191581355,7,12
P_21_15_6,26,f,30B,Tray 2,0.653850206,5.620838098,0.259935593,22,1
P_21_15_12,26,f,30C,Tray 3,0.701192691,6.087643775,0.237644932,22,8
P_21_15_6,26,f,30C,Tray 3,0.603087335,6.07197148,0.205452013,22,1
P_21_15_13,26,f,20A,Tray 4,0.553365058,3.988968857,0.436797436,7,1
P_21_15_13,26,f,20B,Tray 4,0.156478132,2.36375866,0.351752366,22,0
P_21_15_13,26,f,20C,Tray 4,0.723379956,5.209726239,0.334754409,22,0
P_21_15_22,26,m,30A,Tray 1,0.734174984,3.61693684,0.704867313,22,10
P_21_15_4,26,m,3A,Tray 1,0.873610003,7.075738212,0.219161228,22,0
P_21_15_14,26,m,21A,Tray 10,0.553781296,3.699939463,0.508087705,22,0
P_21_15_14,26,m,21B,Tray 10,0.685769284,5.260173539,0.311291688,22,1
P_21_15_14,26,m,21C,Tray 10,0.543764451,3.356763301,0.606120558,22,1
P_21_15_11,26,m,23A,Tray 11,0.697039365,4.082666308,0.525241672,22,0
P_21_15_3,26,m,29A,Tray 11,0.749186678,4.178448914,0.53895126,22,1
P_21_15_5,26,m,29A,Tray 11,0.788991645,5.005717361,0.395484435,22,0
P_21_15_10,26,m,22A,Tray 12,0.993251122,6.195937311,0.324963567,22,1
P_21_15_21,26,m,5C,Tray 12,0.97782319,5.359386561,0.427582386,22,2
P_21_15_5,26,m,8C,Tray 12,0.993581397,5.625479249,0.39434291,22,0
P_21_15_11,26,m,23B,Tray 14,0.508117334,3.190825318,0.62682685,22,0
P_21_15_3,26,m,29B,Tray 14,0.204838589,3.273827941,0.240043369,22,0
P_21_15_5,26,m,29B,Tray 14,0.932285909,4.872671016,0.493179003,22,1
P_21_15_11,26,m,23C,Tray 15,0.529879313,4.438420663,0.337838921,22,0
P_21_15_3,26,m,29C,Tray 15,0.386585049,2.891773727,0.580638833,22,0
P_21_15_5,26,m,29C,Tray 15,0.769310853,3.927221363,0.62649951,22,0
P_21_15_5,26,m,8A,Tray 15,0.64254393,5.559695971,0.261090084,22,1
P_21_15_10,26,m,22B,Tray 2,1.051243856,5.857469563,0.38483364,22,5
P_21_15_22,26,m,30B,Tray 2,0.363967973,3.201789198,0.445930667,22,0
P_21_15_4,26,m,3B,Tray 2,0.757353075,5.896347616,0.273603642,22,0
P_21_15_21,26,m,5B,Tray 2,0.966173066,5.800766799,0.360639883,22,2
P_21_15_5,26,m,8B,Tray 2,0.757448086,4.831371494,0.407569472,22,0
P_21_15_22,26,m,30C,Tray 3,0.315385825,3.729535212,0.284788459,22,2
P_21_15_4,26,m,3C,Tray 3,0.783232186,6.789399341,0.213411323,22,0
P_21_15_15,26,m,17A,Tray 7,0.871479048,5.194322997,0.405684753,22,4
P_21_15_15,26,m,17B,Tray 7,0.704608552,4.603349701,0.417628005,22,2
P_21_15_15,26,m,17C,Tray 7,0.615945453,4.427187731,0.39470808,22,3
P_21_15_10,26,m,22C,Tray 8,0.951636426,6.874823434,0.252893461,22,1
P_21_15_21,26,m,5A,Tray 8,0.997463264,5.288625816,0.447920426,7,2
P_21_15_20,26,m,31A,Tray 9,1.020935436,7.486446492,0.228789699,22,4
P_21_15_20,26,m,31B,Tray 9,0.636784471,4.943229972,0.327310903,22,1
P_21_15_20,26,m,31C,Tray 9,1.000091893,6.949821753,0.260065183,22,2
P_21_5_12,27,f,23A,Tray 11,0.803419702,5.172260712,0.377199668,22,0
P_21_5_12,27,f,23B,Tray 14,0.768360746,4.219815699,0.541960758,22,0
P_21_5_12,27,f,23C,Tray 15,0.79418104,3.917333692,0.650021945,22,0
P_21_5_4,27,f,16A,Tray 4,0.729664237,4.567296697,0.439333429,22,4
P_21_5_4,27,f,16B,Tray 4,0.823919396,5.509046882,0.34097413,22,4
P_21_5_4,27,f,16C,Tray 4,0.6633739,5.481199973,0.27732992,22,1
P_21_5_7,27,m,30A,Tray 1,0.316810986,4.213896549,0.224089823,22,3
P_21_5_1,27,m,29A,Tray 11,0.520523019,3.453218538,0.54825355,22,6
P_21_5_3,27,m,26A,Tray 12,0.443320022,3.217999596,0.537693783,22,0
P_21_5_1,27,m,29B,Tray 14,0.407256667,3.171049976,0.508688207,22,3
P_21_5_1,27,m,29C,Tray 15,0.225066824,2.082868097,0.651594764,22,0
P_21_5_3,27,m,26B,Tray 2,0.39945674,3.007331674,0.554749265,22,1
P_21_5_7,27,m,30B,Tray 2,0.454920379,4.068608327,0.345170176,22,0
