"","famid","sampid","Date.PTR","ssex","Total.conc","Total.masses","Avg.conc.raw","Total.conc.stand.mean","Avg.conc.divmean","low.end.sum.Total.conc","high.end.sum.Total.conc","low.end.Total.masses","high.end.Total.masses","high.avg.conc","low.avg.conc","data$Leaf_Length_Average","data$repro"
"491",36,"p_6_1_13","24-May","m",0.00036929675467216,49,7.53666846269714e-06,3916.80530713076,79.934802186342,3.425411e-05,0.00033504264467216,11,38,8.81691170189895e-06,3.11401e-06,1.264152531,0
"492",36,"p_6_1_13","27-May","m",0.00019030661811418,55,3.46012032934873e-06,23.6416441061689,0.429848074657617,1.80512e-05,0.00017225541811418,9,46,3.74468300248217e-06,2.00568888888889e-06,1.495399738,1.7
"493",36,"P_6_1_17","30-May","m",0.00025024354,32,7.820110625e-06,1489.27944588007,46.5399826837522,4.102e-06,0.00024614154,6,26,9.46698230769231e-06,6.83666666666667e-07,1.673201289,1.4
"494",36,"P_6_1_17","25-May","m",9.862587e-05,29,3.40089206896552e-06,1371.61431155211,47.2970452259349,2.41226e-05,7.450327e-05,17,12,6.20860583333333e-06,1.41897647058824e-06,2.341796182,1
"495",36,"P_6_1_19","30-May","m",0.00019176579,30,6.392193e-06,576.617719950948,19.2205906650316,1.442859e-05,0.0001773372,12,18,9.85206666666667e-06,1.2023825e-06,1.183187462,0
"496",36,"P_6_1_19","23-May","m",0.000171005615,20,8.55028075e-06,55.167845696142,2.7583922848071,5.787905e-06,0.00016521771,15,5,3.3043542e-05,3.85860333333333e-07,1.619863895,1.3
"497",36,"P_6_1_4","23-May","f",0.000266498455799,33,8.07571078178788e-06,53.1498976924872,1.6106029603784,4.564165e-06,0.000261934290799,6,27,9.70127002959259e-06,7.60694166666667e-07,1.67317666,31.33
"498",36,"P_6_1_4","26-May","f",2.934735e-05,26,1.12874423076923e-06,3.60491173364716,0.138650451294121,2.18342e-05,7.51315e-06,19,7,1.07330714285714e-06,1.14916842105263e-06,1.801908352,17.33
"499",36,"P_6_1_5","26-May","f",8.31483e-05,27,3.07956666666667e-06,238.114662944097,8.81906159052212,2.87829e-05,5.43654e-05,16,11,4.94230909090909e-06,1.79893125e-06,1.779182,10.33333333
"500",36,"P_6_1_5","25-May","f",0.000100815704,46,2.19164573913043e-06,4118.58589555906,89.5344759904144,2.9918604e-05,7.08971e-05,20,26,2.72681153846154e-06,1.4959302e-06,2.41977855,12.33333333
"501",36,"P_6_1_9","26-May","m",3.466401e-05,29,1.19531068965517e-06,87.2248920536031,3.00775489840011,2.276344e-05,1.190057e-05,17,12,9.91714166666667e-07,1.33902588235294e-06,1.009319722,2.7
"502",36,"P_6_1_9","27-May","m",0.0007147016303802,53,1.34849364222679e-05,37.0431767042831,0.698927862344964,1.319e-06,0.0007133826303802,2,51,1.39878947133373e-05,6.595e-07,1.359351673,2.7
"503",37,"P_6_18_1","22-May","f",0.00026525513,39,6.80141358974359e-06,64.6643428566111,1.65806007324644,1.889906e-05,0.00024635607,13,26,9.47523346153846e-06,1.45377384615385e-06,2.383735334,19.67
"504",37,"P_6_18_1","27-May","f",0.00022812043,57,4.00211280701754e-06,1228.4971072472,21.5525808288983,2.23321e-05,0.00020578833,6,51,4.03506529411765e-06,3.72201666666667e-06,1.674948508,7.33
"505",37,"P_6_18_10","25-May","f",0.00010585506,50,2.1171012e-06,1348.47918931939,26.9695837863879,4.566838e-05,6.018668e-05,19,31,1.94150580645161e-06,2.40359894736842e-06,2.720829601,10.33333333
"507",37,"P_6_18_12","29-May","m",7.5140699e-05,27,2.78298885185185e-06,105.802284494957,3.91860312944284,2.955978e-05,4.5580919e-05,21,6,7.59681983333333e-06,1.40760857142857e-06,1.514706299,1
"508",37,"P_6_18_12","26-May","m",0.0002362120722258,56,4.21807271831786e-06,17.3629220100118,0.31005217875021,1.39397e-05,0.0002222723722258,6,50,4.445447444516e-06,2.32328333333333e-06,1.486789307,1.1
"509",37,"P_6_18_13","29-May","m",0.00015297988,38,4.02578631578947e-06,10.7011729154072,0.281609813563348,2.39989e-05,0.00012898098,21,17,7.58711647058823e-06,1.14280476190476e-06,2.208574486,1.3
"510",37,"P_6_18_13","24-May","m",0.002634546471975,57,4.62201135434211e-05,31983.5897070931,561.115608896371,5.16e-07,0.002634030471975,1,56,4.7036258428125e-05,5.16e-07,3.153983686,1
"511",37,"P_6_18_14","23-May","m",0.00014323735,16,8.952334375e-06,8907.80901793133,556.738063620708,1.1547e-05,0.00013169035,9,7,1.88129071428571e-05,1.283e-06,1.129111537,1.1
"512",37,"P_6_18_14","28-May","m",0.00028819108,32,9.00597125e-06,120.162782028801,3.75508693840003,1.1719e-05,0.00027647208,6,26,1.06335415384615e-05,1.95316666666667e-06,1.547796482,1.1
"513",37,"P_6_18_16","23-May","f",7.0823e-05,17,4.16605882352941e-06,35.1080791084516,2.06518112402656,8.9389e-06,6.18841e-05,10,7,8.84058571428571e-06,8.9389e-07,1.001548762,5.666666667
"515",37,"P_6_18_6","30-May","m",0.473189067,58,0.00815843218965517,52847.628251804,911.166004341448,0,0.473189067,0,58,0.00815843218965517,0,0.885715053,0.9
"516",37,"P_6_18_6","27-May","m",9.512105e-05,49,1.94124591836735e-06,712.795149056117,14.5468397766554,1.998e-05,7.514105e-05,4,45,1.66980111111111e-06,4.995e-06,0.964922966,0.9
"517",37,"P_6_18_7","22-May","f",0.0001942814,38,5.11266842105263e-06,1837.7806103808,48.3626476415999,3.46235e-05,0.0001596579,11,27,5.91325555555556e-06,3.14759090909091e-06,1.665014064,5
"518",37,"P_6_18_7","24-May","f",9.627106e-05,36,2.67419611111111e-06,12226.2256160008,339.617378222244,2.438796e-05,7.18831e-05,26,10,7.18831e-06,9.37998461538462e-07,1.513931252,5.33
"520",38,"P_6_2_12","24-May","f",0.0002663078650481,46,5.78930141408913e-06,49.8269382954673,1.08319431077103,6.0489e-06,0.0002602589650481,10,36,7.22941569578056e-06,6.0489e-07,1.085592242,11
"521",38,"P_6_2_13","30-May","m",0.00019477036,26,7.49116769230769e-06,40.317168086542,1.55066031102085,3.435056e-05,0.0001604198,11,15,1.06946533333333e-05,3.12277818181818e-06,1.926379974,1
"522",38,"P_6_2_13","26-May","m",5.09409e-05,26,1.95926538461538e-06,724.1513170376,27.8519737322154,5.05023e-05,4.386e-07,22,4,1.0965e-07,2.29555909090909e-06,1.246897864,1
"523",38,"P_6_2_22","26-May","f",0.0007763949709203,61,1.27277864085295e-05,1290.95604394989,21.1632138352441,2.36e-05,0.0007527949709203,1,60,1.25465828486717e-05,2.36e-05,2.110120301,1
"524",38,"P_6_2_22","28-May","f",0.0016087871,62,2.59481790322581e-05,1794.71234241401,28.946973264742,1.62e-08,0.0016087709,1,61,2.6373293442623e-05,1.62e-08,1.745712733,7.67
"525",38,"P_6_2_23","25-May","m",0.000142002793,32,4.43758728125e-06,3.28434263600927,0.10263570737529,3.76753e-05,0.000104327493,15,17,6.13691135294118e-06,2.51168666666667e-06,1.187338177,1.4
"526",38,"P_6_2_23","29-May","m",3.267865e-05,34,9.61136764705882e-07,19.7462352401889,0.580771624711438,9.47585e-06,2.32028e-05,13,21,1.10489523809524e-06,7.28911538461538e-07,1.621597231,1
"527",38,"P_6_2_25","24-May","f",5.516896e-05,35,1.576256e-06,3339.58304814519,95.4166585184339,1.69419e-05,3.822706e-05,21,14,2.73050428571429e-06,8.06757142857143e-07,1.884077095,19.33
"528",38,"P_6_2_25","25-May","f",0.00014016075766716,48,2.9200157847325e-06,1183.90393519468,24.6646653165558,1.3516334e-05,0.00012664442366716,13,35,3.618412104776e-06,1.039718e-06,2.620137997,17.67
"529",38,"p_6_2_3","27-May","m",0.00019846994,53,3.7447158490566e-06,569.276878794988,10.7410731848111,6.065e-07,0.00019786344,2,51,3.87967529411765e-06,3.0325e-07,1.691732518,3.3
"531",38,"P_6_2_9","29-May","f",9.747595e-05,39,2.49938333333333e-06,3.37639650751871,0.0865742694235567,6.3532e-07,9.684063e-05,5,34,2.84825382352941e-06,1.27064e-07,1.584572571,5
"532",39,"P_6_3_10","25-May","m",7.390913e-05,25,2.9563652e-06,22.7352183374287,0.909408733497147,2.97021e-05,4.420703e-05,18,7,6.31529e-06,1.65011666666667e-06,1.899144315,1.3
"533",39,"P_6_3_11","29-May","f",2.6251301e-05,37,7.09494621621622e-07,261.496467988598,7.06747210779996,1.8227315e-05,8.023986e-06,17,20,4.011993e-07,1.072195e-06,2.159755766,7
"534",39,"P_6_3_11","29-May","f",0.00025145843,60,4.19097383333333e-06,4288.01059032926,71.4668431721543,1.392e-06,0.00025006643,9,51,4.90326333333333e-06,1.54666666666667e-07,1.507701638,8.666666667
"535",39,"P_6_3_12","28-May","m",0.00015476817,30,5.158939e-06,356.627362540555,11.8875787513518,1.83359e-05,0.00013643227,16,14,9.74516214285714e-06,1.14599375e-06,0.959149317,1.1
"536",39,"P_6_3_12","27-May","m",0.0003224854,53,6.08463018867925e-06,21.4726276097167,0.405143917164467,1.1446e-05,0.0003110394,3,50,6.220788e-06,3.81533333333333e-06,1.166756766,1.2
"537",39,"P_6_3_14","30-May","m",0.0002837248,28,1.01330285714286e-05,9.6839291328511,0.345854611887539,1.9589e-06,0.0002817659,5,23,1.22506913043478e-05,3.9178e-07,1.50852599,1.1
"538",39,"P_6_3_14","26-May","m",0.00020762975,34,6.10675735294118e-06,644.602631267703,18.9589009196383,2.23275e-06,0.000205397,6,28,7.33560714285714e-06,3.72125e-07,1.732040606,1
"539",39,"P_6_3_22","26-May","f",0.000438660195208,60,7.31100325346667e-06,3167.63467951821,52.7939113253036,1.060773e-05,0.000428052465208,2,58,7.38021491737931e-06,5.303865e-06,1.986918489,13.33333333
"540",39,"P_6_3_24","22-May","f",0.00101424784801738,47,2.15797414471783e-05,2609.33238767798,55.5177103761272,0,0.00101424784801738,0,47,2.15797414471783e-05,0,1.539413796,9.33
"541",39,"P_6_3_24","27-May","f",0.0003350382,52,6.44304230769231e-06,15.7568973955656,0.30301725760703,6.816e-07,0.0003343566,2,50,6.687132e-06,3.408e-07,1.317008094,4.33
"543",39,"P_6_3_4","24-May","m",0.00035377784861197,51,6.93682056101902e-06,33.8788837713702,0.664291838654317,5.3328e-06,0.00034844504861197,7,44,7.91920565027204e-06,7.61828571428571e-07,2.140504215,1.2
"544",39,"P_6_3_8","22-May","f",0.0015969139240154,49,3.25900800819469e-05,4738.00661278216,96.6940125057585,0,0.0015969139240154,0,49,3.25900800819469e-05,0,1.703325412,11.67
"545",39,"P_6_3_8","25-May","f",0.00026699718,51,5.23523882352941e-06,1163.15155966317,22.8068933267289,1.7826e-05,0.00024917118,6,45,5.53713733333333e-06,2.971e-06,1.853404386,10.67
"546",40,"P_6_5_10","25-May","f",0.00025010294138929,57,4.38777090156649e-06,421.692168058167,7.39810821154678,9.0015e-07,0.00024920279138929,2,55,4.53095984344164e-06,4.50075e-07,1.890002653,6.666666667
"547",40,"P_6_5_10","27-May","f",0.0002998066,51,5.87856078431373e-06,9.66141904160231,0.189439589051026,6.4768e-06,0.0002933298,4,47,6.24105957446809e-06,1.6192e-06,1.928750093,9.666666667
"548",40,"P_6_5_11","23-May","f",0.0002475391288982,31,7.98513319026452e-06,22.080034220625,0.712259168407258,4.8747e-06,0.0002426644288982,10,21,1.15554489951524e-05,4.8747e-07,1.277034872,12.33333333
"549",40,"P_6_5_11","23-May","f",0.0001294596997714,22,5.88453180779091e-06,350.008117938487,15.9094599062949,5.63292e-05,7.31304997714e-05,16,6,1.21884166285667e-05,3.520575e-06,2.668948825,15
"550",40,"P_6_5_2","24-May","f",0.00131688715,43,3.06252825581395e-05,5695.09284341765,132.444019614364,8.97e-07,0.00131599015,2,41,3.20973207317073e-05,4.485e-07,1.183891095,15
"551",40,"P_6_5_2","28-May","f",0.00123453329,59,2.09242930508475e-05,7919.88009948813,134.235255923528,0,0.00123453329,0,59,2.09242930508475e-05,0,1.513490359,0
"553",40,"P_6_5_3","29-May","m",1.82484e-05,31,5.88658064516129e-07,2.13595658697025,0.068901825386137,1.13e-05,6.9484e-06,14,17,4.08729411764706e-07,8.07142857142857e-07,1.829625034,1
"554",40,"P_6_5_3","25-May","m",0.0007553038624554,58,1.30224803871621e-05,251.267034739931,4.33219025413674,2.61e-08,0.0007552777624554,1,57,1.32504870606211e-05,2.61e-08,2.199955782,1
"555",40,"P_6_5_4","26-May","m",0.000164069317,32,5.12716615625e-06,2999.99566839023,93.7498646371948,3.74122e-05,0.000126657117,13,19,6.66616405263158e-06,2.87786153846154e-06,1.839754463,1
"556",40,"P_6_5_4","28-May","m",0.00014642228,38,3.85321789473684e-06,203.893044291365,5.36560642872013,2.192304e-05,0.00012449924,19,19,6.55259157894737e-06,1.15384421052632e-06,1.297328535,1
"557",40,"P_6_5_9","23-May","f",0.0001176135064817,24,4.90056277007083e-06,28.0582275921401,1.16909281633917,3.03612e-05,8.72523064817e-05,17,7,1.24646152116714e-05,1.78595294117647e-06,2.584327995,3
"558",40,"P_6_5_9","29-May","f",0.000151884298,53,2.86574147169811e-06,40.9884510092646,0.773367000174803,2.206222e-05,0.000129822078,14,39,3.32877123076923e-06,1.57587285714286e-06,1.880514714,6
"559",41,"P_6_6_14","28-May","m",0.00012195888,50,2.4391776e-06,46.7469852327711,0.934939704655423,4.84408e-05,7.351808e-05,9,41,1.79312390243902e-06,5.38231111111111e-06,1.609482044,1.1
"560",41,"P_6_6_14","24-May","m",0.0009820874863046,54,1.8186805301937e-05,1541.13490736656,28.5395353216031,1.30643e-05,0.0009690231863046,6,48,2.01879830480125e-05,2.17738333333333e-06,1.659147748,1.1
"561",41,"P_6_6_15","25-May","m",0.00034158253866669,53,6.44495355974887e-06,21004.5688751761,396.312620286342,1.003138e-05,0.00033155115866669,3,50,6.6310231733338e-06,3.34379333333333e-06,0.995130818,0.7
"564",41,"P_6_6_17","28-May","f",0.00124903142,60,2.08171903333333e-05,20592.2934966452,343.204891610753,1.33419e-05,0.00123568952,2,58,2.13049917241379e-05,6.67095e-06,1.354167974,9.33
"567",41,"P_6_6_20","29-May","m",1.228115e-05,32,3.837859375e-07,3.69402850374069,0.115438390741896,1.091942e-05,1.36173e-06,18,14,9.72664285714286e-08,6.06634444444444e-07,1.367113028,0
"568",41,"P_6_6_20","28-May","m",8.108395e-05,29,2.79599827586207e-06,67.8558348865027,2.33985637539664,4.34382e-05,3.764575e-05,19,10,3.764575e-06,2.28622105263158e-06,2.034056507,0
"569",41,"P_6_6_22","22-May","f",0.00038200225,46,8.30439673913044e-06,21585.1133383203,469.24159431131,3.07753e-05,0.00035122695,10,36,9.75630416666667e-06,3.07753e-06,2.3687575,11.66666667
"570",41,"P_6_6_22","29-May","f",2.5379098e-05,35,7.25117085714286e-07,734.338129309862,20.9810894088532,1.1970218e-05,1.340888e-05,12,23,5.82994782608696e-07,9.97518166666667e-07,1.920971098,6.34
"571",41,"P_6_6_25","29-May","m",0.0001104051,37,2.98392162162162e-06,1201.96804520074,32.4856228432633,4.32937e-05,6.71114e-05,21,16,4.1944625e-06,2.06160476190476e-06,1.789432482,1.3
"572",41,"P_6_6_25","26-May","m",0.0001684467,33,5.10444545454545e-06,42.9224009164323,1.30067881564946,2.0423e-05,0.0001480237,17,16,9.25148125e-06,1.20135294117647e-06,1.117287712,1
"573",42,"P_6_8_11","22-May","f",0.00055150418585867,53,1.0405739355824e-05,368.733513979681,6.95723611282417,1.40234e-05,0.00053748078585867,3,50,1.07496157171734e-05,4.67446666666667e-06,1.135255522,5
"574",42,"P_6_8_11","23-May","f",8.671021e-05,18,4.81723388888889e-06,294.876508673232,16.382028259624,6.16321e-06,8.0547e-05,13,5,1.61094e-05,4.74093076923077e-07,1.361577252,6
"575",42,"P_6_8_14","23-May","m",0.0001302421,18,7.23567222222222e-06,927.061827469259,51.5034348594033,1.35767e-05,0.0001166654,11,7,1.66664857142857e-05,1.23424545454545e-06,1.438108422,0.9
"576",42,"P_6_8_14","25-May","m",0.0002027020501974,51,3.97455000387059e-06,2089.71082237507,40.9747220073542,4.54911e-05,0.0001572109501974,7,44,3.57297614085e-06,6.49872857142857e-06,2.11428043,1.2
"577",42,"P_6_8_16","25-May","f",0.00017534964,50,3.5069928e-06,15.5556531219453,0.311113062438907,2.039363e-05,0.00015495601,15,35,4.42731457142857e-06,1.35957533333333e-06,2.537997687,8
"578",42,"P_6_8_20","30-May","m",4.00915e-05,14,2.86367857142857e-06,289.174067994547,20.655290571039,3.58515e-05,4.24e-06,9,5,8.48e-07,3.9835e-06,2.036296826,1.6
"579",42,"P_6_8_20","27-May","m",0.001133889498542,55,2.06161727007636e-05,2436.36200479959,44.2974909963562,5.257e-06,0.001128632498542,5,50,2.257264997084e-05,1.0514e-06,1.497703625,1.6
"580",42,"P_6_8_26","27-May","m",0.00011932036,28,4.26144142857143e-06,589.885889386983,21.0673531923922,1.333703e-05,0.00010598333,11,17,6.23431352941176e-06,1.21245727272727e-06,0.897446544,1.1
"581",42,"P_6_8_26","26-May","m",0.00010264364,30,3.42145466666667e-06,759.901829963731,25.330060998791,7.07365e-06,9.556999e-05,12,18,5.30944388888889e-06,5.89470833333333e-07,1.160396685,1.1
"582",42,"P_6_8_3","23-May","f",5.75127510116e-05,24,2.39636462548333e-06,6.36425088606207,0.265177120252586,3.5203726e-05,2.23090250116e-05,18,6,3.71817083526667e-06,1.95576255555556e-06,1.44452028,3
"583",42,"P_6_8_3","22-May","f",0.00036599998,40,9.1499995e-06,761.692276216307,19.0423069054077,1.10605e-05,0.00035493948,11,29,1.22392924137931e-05,1.0055e-06,1.846502424,4
"584",42,"P_6_8_4","26-May","m",6.254007e-05,30,2.084669e-06,704.661083274682,23.4887027758227,6.33907e-06,5.6201e-05,16,14,4.01435714285714e-06,3.96191875e-07,1.88404058,1.3
"585",43,"P_9_11_1","22-May","f",0.00157029707870145,54,2.90795755315083e-05,85781.6545653019,1588.5491586167,9.4e-07,0.00156935707870145,2,52,3.01799438211817e-05,4.7e-07,2.436902846,7
"586",43,"P_9_11_1","22-May","f",0.00038720402347071,51,7.59223575432765e-06,487.697518917491,9.56269644936257,3.64e-07,0.00038684002347071,1,50,7.7368004694142e-06,3.64e-07,2.485974749,5.666666667
"587",43,"P_9_11_10","24-May","f",0.00038639867,34,1.13646667647059e-05,24.9138597609344,0.732760581203952,6.7791e-06,0.00037961957,13,21,1.80771223809524e-05,5.21469230769231e-07,1.718547062,9
"588",43,"P_9_11_10","29-May","f",0.0003131924,43,7.28354418604651e-06,80.6967718558914,1.87666911292771,2.1274e-05,0.0002919184,4,39,7.48508717948718e-06,5.3185e-06,2.242537566,6.67
"589",43,"P_9_11_11","27-May","f",0.000230547,59,3.90757627118644e-06,1542.06189559137,26.1366422981588,6.09e-07,0.000229938,1,58,3.96444827586207e-06,6.09e-07,2.566622259,0
"590",43,"P_9_11_14","26-May","m",0.0001781641,32,5.567628125e-06,8508.07868652021,265.877458953757,1.3844e-05,0.0001643201,4,28,5.868575e-06,3.461e-06,1.267774155,0.1
"592",43,"P_9_11_19","29-May","f",0.00018367868,44,4.17451545454545e-06,1832.32583781584,41.6437690412692,2.79182e-05,0.00015576048,9,35,4.45029942857143e-06,3.10202222222222e-06,1.367393977,19
"593",43,"P_9_11_19","26-May","f",0.0022487490743005,60,3.74791512383417e-05,381.637680879271,6.36062801465451,0,0.0022487490743005,0,60,3.74791512383417e-05,0,2.026461087,16
"594",43,"P_9_11_20","27-May","m",0.00010515495,48,2.190728125e-06,20.8754151960961,0.434904483252002,2.628875e-05,7.88662e-05,12,36,2.19072777777778e-06,2.19072916666667e-06,1.371484784,1.3
"595",43,"P_9_11_20","27-May","m",0.0001767155,49,3.6064387755102e-06,998.959860799627,20.3869359346863,1.564e-06,0.0001751515,3,46,3.80764130434783e-06,5.21333333333333e-07,1.454942118,1.1
"596",43,"P_9_11_3","26-May","m",0.00018754267,33,5.68311121212121e-06,609.740430839813,18.4769827527216,5.3253e-06,0.00018221737,11,22,8.28260772727273e-06,4.84118181818182e-07,2.290659168,1.9
"597",43,"P_9_11_3","25-May","m",0.0003480866,36,9.66907222222222e-06,294.186013684903,8.17183371346954,3.647e-06,0.0003444396,7,29,1.18772275862069e-05,5.21e-07,2.347643384,1.3
"598",43,"P_9_11_7","30-May","m",0.259168494,55,0.00471215443636364,57661.7648130891,1048.39572387435,0,0.259168494,0,55,0.00471215443636364,0,1.509579561,1
"599",43,"P_9_11_7","24-May","m",0.0005206532457165,51,1.02088871709118e-05,140.483324562894,2.75457499142929,2.0306e-05,0.0005003472457165,6,45,1.11188276825889e-05,3.38433333333333e-06,1.989341526,1.1
"600",44,"P_9_20_1","26-May","m",2.411985e-05,27,8.93327777777778e-07,341.318469021099,12.6414247785592,1.044128e-05,1.367857e-05,17,10,1.367857e-06,6.14192941176471e-07,1.995302459,1.1
"601",44,"P_9_20_10","26-May","m",3.948036e-05,24,1.645015e-06,1341.64259004063,55.9017745850262,2.5731e-05,1.374936e-05,13,11,1.24994181818182e-06,1.97930769230769e-06,1.308390816,0.9
"602",44,"P_9_20_10","27-May","m",0.00040342532,51,7.91030039215686e-06,1537.66235319333,30.1502422194771,1.0796e-06,0.00040234572,2,49,8.21113714285714e-06,5.398e-07,1.746521918,0.9
"604",44,"P_9_20_14","27-May","f",0.00030859081,57,5.41387385964912e-06,16.2971383526189,0.285914707940683,4.199e-07,0.00030817091,2,55,5.60310745454545e-06,2.0995e-07,1.588615642,1.666666667
"605",44,"P_9_20_4","29-May","f",0.00014014137,38,3.68793078947368e-06,57.8698610079338,1.52289107915615,6.57715e-06,0.00013356422,18,20,6.678211e-06,3.65397222222222e-07,2.977629672,4
"606",44,"P_9_20_4","24-May","f",0.000454328364861,48,9.4651742679375e-06,7390.61453187705,153.971136080772,5.18731e-06,0.000449141054861,8,40,1.1228526371525e-05,6.4841375e-07,2.668374232,16
"607",44,"P_9_20_5","26-May","f",0.000623347,39,1.59832564102564e-05,803.770705976103,20.6095052814385,4.98413e-05,0.0005735057,8,31,1.85001838709677e-05,6.2301625e-06,2.89695644,9
"608",44,"P_9_20_6","29-May","m",2.633083e-05,30,8.77694333333333e-07,177.032874541556,5.90109581805186,2.562802e-05,7.0281e-07,19,11,6.38918181818182e-08,1.34884315789474e-06,2.040468556,1.3
"609",44,"P_9_20_6","23-May","m",0.00012001939747811,26,4.616130672235e-06,12.8241721853795,0.493237391745366,4.3566e-05,7.645339747811e-05,18,8,9.55667468476375e-06,2.42033333333333e-06,1.221877466,1.6
"610",44,"P_9_20_7","29-May","f",1.61415e-05,29,5.56603448275862e-07,13.2832732452089,0.458043905007204,8.4929e-06,7.6486e-06,13,16,4.780375e-07,6.533e-07,1.585747812,20
"611",44,"P_9_20_7","22-May","f",0.00095268168075596,55,1.73214851046538e-05,11706.8593346506,212.851987902739,1.154e-07,0.00095256628075596,2,53,1.79729486935087e-05,5.77e-08,1.988863785,10.33
"612",44,"P_9_20_9","30-May","m",0.00018916454,26,7.27555923076923e-06,5415.64604302472,208.294078577874,1.33044e-05,0.00017586014,7,19,9.25579684210526e-06,1.90062857142857e-06,2.098528785,1
"613",44,"P_9_20_9","27-May","m",6.534168e-05,48,1.361285e-06,201.87903504722,4.20581323015042,1.3747e-05,5.159468e-05,16,32,1.61233375e-06,8.591875e-07,1.3375247,1
"614",45,"P_9_3_10","30-May","m",0.119043947,53,0.00224611220754717,3981.32729005501,75.1193828312266,0,0.119043947,0,53,0.00224611220754717,0,1.26893537,1
"616",45,"P_9_3_11","27-May","f",0.0005679499,59,9.62626949152542e-06,287.58399322525,4.87430496991949,1.94e-08,0.0005679305,1,58,9.79190517241379e-06,1.94e-08,1.721388789,10
"617",45,"P_9_3_12","28-May","m",0.00018198268,29,6.27526482758621e-06,341.714275914629,11.7832508936079,1.6728e-05,0.00016525468,13,16,1.03284175e-05,1.28676923076923e-06,1.204592417,1
"618",45,"P_9_3_12","30-May","m",7.416351e-05,25,2.9665404e-06,507.901582731497,20.3160633092599,4.3783e-05,3.038051e-05,13,12,2.53170916666667e-06,3.36792307692308e-06,1.612610758,1
"619",45,"P_9_3_14","25-May","m",1.23508e-05,16,7.71925e-07,119.392376832436,7.46202355202726,1.19839e-05,3.669e-07,12,4,9.1725e-08,9.98658333333333e-07,2.972458335,1.3
"621",45,"P_9_3_2","24-May","f",0.0003721696333232,44,8.45840075734546e-06,43.0797087381314,0.979084289502987,2.2086e-06,0.0003699610333232,10,34,1.08812068624471e-05,2.2086e-07,1.794603723,8
"622",45,"P_9_3_2","27-May","f",0.005554126648924,66,8.41534340746061e-05,633.192333957524,9.59382324178066,0,0.005554126648924,0,66,8.41534340746061e-05,0,1.603407144,5
"623",45,"P_9_3_3","29-May","m",0.00020656473,40,5.16411825e-06,371.556852536717,9.28892131341792,1.72552e-05,0.00018930953,15,25,7.5723812e-06,1.15034666666667e-06,2.193220897,1.3
"624",45,"P_9_3_3","25-May","m",0.0002813498508411,52,5.41057405463654e-06,31185.652350108,599.724083655922,1.81521e-05,0.0002631977508411,4,48,5.48328647585625e-06,4.538025e-06,1.74355814,1.4
"625",45,"P_9_3_6","22-May","f",0.0007674992,47,1.6329770212766e-05,1221.25015626527,25.9840458779845,0,0.0007674992,0,47,1.6329770212766e-05,0,2.863800311,20.67
"626",45,"P_9_3_6","25-May","f",0.0005839441878108,58,1.00680032381172e-05,21.6628307920041,0.37349708262076,0,0.0005839441878108,0,58,1.00680032381172e-05,0,2.827024602,14.33
"627",45,"P_9_3_8","29-May","f",0.00027331862,46,5.94170913043478e-06,36.11561419873,0.785122047798479,2.27479e-05,0.00025057072,5,41,6.11148097560976e-06,4.54958e-06,3.317180686,8
"628",45,"P_9_3_8","28-May","f",0.0038359075959691,66,5.81198120601379e-05,6837.66248816093,103.600946790317,0,0.0038359075959691,0,66,5.81198120601379e-05,0,2.052651496,14.33
"629",46,"P_9_7_1","25-May","f",7.919371e-05,54,1.46655018518519e-06,249.958591526943,4.62886280605449,4.59925e-05,3.320121e-05,22,32,1.0375378125e-06,2.09056818181818e-06,2.171278768,10.67
"630",46,"P_9_7_1","28-May","f",0.00130578591696229,67,1.94893420442133e-05,5805.61915053875,86.6510320975933,3.64e-08,0.00130574951696229,1,66,1.97840835903377e-05,3.64e-08,1.208126271,8.67
"631",46,"P_9_7_10","30-May","m",1.687884e-05,19,8.8836e-07,1.73000357242288,0.0910528196012044,9.91364e-06,6.9652e-06,12,7,9.95028571428571e-07,8.26136666666667e-07,1.128122581,1.2
"632",46,"P_9_7_10","30-May","m",0.00041755137,32,1.30484803125e-05,102.565424213906,3.20516950668456,1.666174e-05,0.00040088963,10,22,1.82222559090909e-05,1.666174e-06,1.504581814,1.2
"633",46,"P_9_7_11","26-May","m",6.799029e-05,29,2.34449275862069e-06,552.487136583699,19.0512805718517,4.573649e-05,2.22538e-05,23,6,3.70896666666667e-06,1.98854304347826e-06,1.886284654,1.1
"634",46,"P_9_7_11","28-May","m",0.00028245054,37,7.63379837837838e-06,553.964101914425,14.9720027544439,3.67301e-05,0.00024572044,16,21,1.17009733333333e-05,2.29563125e-06,1.411754123,1.6
"635",46,"P_9_7_12","29-May","f",2.903065e-05,32,9.072078125e-07,126.749988300975,3.96093713440547,2.390091e-05,5.12974e-06,17,15,3.41982666666667e-07,1.40593588235294e-06,1.846301637,3.67
"636",46,"P_9_7_12","25-May","f",0.00027850033,53,5.25472320754717e-06,32.1570086454827,0.606736012178919,2.6798e-06,0.00027582053,8,45,6.12934511111111e-06,3.34975e-07,1.488617544,7
"637",46,"P_9_7_18","30-May","m",0.69556690508006,60,0.0115927817513343,247430.414406866,4123.84024011444,0,0.69556690508006,0,60,0.0115927817513343,0,1.849815379,1.1
