"","famid","sampid","Date.PTR","ssex","Total.conc","Total.masses","Avg.conc.raw","Total.conc.stand.mean","Avg.conc.divmean","low.end.sum.Total.conc","high.end.sum.Total.conc","low.end.Total.masses","high.end.Total.masses","high.avg.conc","low.avg.conc","data$Leaf_Length_Average","data$repro"
"409",29,"P_22_10_9","28-May","m",0.0002733155,34,8.03869117647059e-06,1380.27356055117,40.5962811926814,1.81757e-05,0.0002551398,11,23,1.10930347826087e-05,1.65233636363636e-06,1.525229457,1
"410",30,"p_22_11_1","25-May","m",8.678927e-05,30,2.89297566666667e-06,1845.61978348727,61.5206594495758,3.866897e-05,4.81203e-05,15,15,3.20802e-06,2.57793133333333e-06,1.034352338,1.4
"412",30,"P_22_11_11","22-May","f",0.0011189663,54,2.07215981481481e-05,150.696902085082,2.79068337194596,0,0.0011189663,0,54,2.07215981481481e-05,0,1.782301586,7.67
"413",30,"P_22_11_11","27-May","f",0.00017322581,54,3.20788537037037e-06,414.42184985867,7.67447870108648,4.33968e-05,0.00012982901,7,47,2.76231936170213e-06,6.19954285714286e-06,1.586883353,11.33
"414",30,"P_22_11_13","23-May","m",0.000119511667,29,4.12109196551724e-06,1967.31708421483,67.8385201453391,2.51857e-05,9.4325967e-05,11,18,5.2403315e-06,2.28960909090909e-06,2.309065874,1
"416",30,"P_22_11_2","30-May","m",0.0002732054,37,7.38392972972973e-06,1332.18490032421,36.0049973060597,1.211e-06,0.0002719944,4,33,8.24225454545455e-06,3.0275e-07,1.752438062,1
"417",30,"P_22_11_2","27-May","m",0.0001703157,50,3.406314e-06,374.608464339666,7.49216928679332,4.374e-06,0.0001659417,4,46,3.60742826086957e-06,1.0935e-06,0.978628042,1
"418",30,"P_22_11_4","29-May","f",0.00023429855,37,6.33239324324324e-06,12.9611517635678,0.350301399015347,2.006459e-05,0.00021423396,16,21,1.02016171428571e-05,1.254036875e-06,1.137798517,1.67
"419",30,"P_22_11_4","24-May","f",0.00016466232,42,3.92053142857143e-06,151.157065014646,3.59897773844396,2.646926e-05,0.00013819306,23,19,7.27331894736842e-06,1.15083739130435e-06,2.619190169,3.33
"420",30,"P_22_11_5","25-May","f",0.0003258863772508,53,6.14879957076981e-06,1041.34937423901,19.6481014007361,1.5457e-05,0.0003104293772508,3,50,6.208587545016e-06,5.15233333333333e-06,1.620272315,7
"421",30,"P_22_11_5","27-May","f",0.0006720177,60,1.1200295e-05,65081.7349211223,1084.69558201871,0,0.0006720177,0,60,1.1200295e-05,0,1.87521719,25.66666667
"422",30,"P_22_11_6","26-May","m",0.0001251474978343,57,2.19557013744386e-06,199.950146491007,3.50789730685978,2.08731e-05,0.0001042743978343,10,47,2.21860420924043e-06,2.08731e-06,1.215759252,1
"423",31,"P_22_12_10","26-May","m",0.00014535252630505,57,2.55004432114123e-06,31.6971560804459,0.556090457551682,5.8893e-05,8.645952630505e-05,13,44,1.96498923420568e-06,4.53023076923077e-06,1.071365824,1.2
"424",31,"P_22_12_10","28-May","m",0.000408815671,57,7.17220475438596e-06,105.959474422844,1.8589381477692,2.75e-07,0.000408540671,1,56,7.295369125e-06,2.75e-07,1.453480555,1
"425",31,"P_22_12_12","29-May","f",0.00022034756,31,7.10798580645161e-06,1859.56803331124,59.986065590685,1.948637e-05,0.00020086119,15,16,1.2553824375e-05,1.29909133333333e-06,1.388984979,6.333333333
"426",31,"P_22_12_12","25-May","f",0.00013181156,52,2.53483769230769e-06,4018.08222929565,77.2708121018395,3.14511e-05,0.00010036046,16,36,2.78779055555556e-06,1.96569375e-06,2.822629786,3
"427",31,"P_22_12_14","28-May","m",0.00011941345,33,3.61858939393939e-06,488.371625470412,14.79914016577,3.482104e-05,8.459241e-05,21,12,7.0493675e-06,1.65814476190476e-06,0.969852627,1
"428",31,"P_22_12_14","30-May","m",0.0002890459,29,9.9671e-06,35.9483619068063,1.2395986864416,1.45e-07,0.0002889009,3,26,1.11115730769231e-05,4.83333333333333e-08,1.464642064,1
"429",31,"P_22_12_2","26-May","m",0.0001469692,41,3.58461463414634e-06,21.7960391117529,0.531610710042754,2.1615e-06,0.0001448077,6,35,4.13736285714286e-06,3.6025e-07,1.725381176,0.8
"430",31,"P_22_12_2","28-May","m",0.00013971472,32,4.366085e-06,709.909147804345,22.1846608688858,2.056232e-05,0.0001191524,16,16,7.447025e-06,1.285145e-06,1.640064415,1
"431",31,"P_22_12_3","30-May","m",4.659737e-05,23,2.02597260869565e-06,81.9570417508423,3.56334964134097,3.711737e-05,9.48e-06,13,10,9.48e-07,2.85518230769231e-06,1.329737717,1
"432",31,"P_22_12_3","25-May","m",0.0005500929598242,54,1.01869066634111e-05,516.743370024617,9.56932166712254,0,0.0005500929598242,0,54,1.01869066634111e-05,0,2.547233728,1
"433",31,"P_22_12_4","25-May","f",0.00027330498515387,51,5.35892127752686e-06,52.4579701664388,1.02858765032233,3.54627e-05,0.00023784228515387,4,47,5.06047415221e-06,8.865675e-06,1.584331085,3
"434",31,"P_22_12_4","27-May","f",0.000258338959,51,5.06546978431373e-06,50.158922896145,0.983508292081275,9.14e-08,0.000258247559,2,49,5.27035834693878e-06,4.57e-08,1.747661309,11.33333333
"435",31,"P_22_12_6","29-May","f",0.00014562026,36,4.04500722222222e-06,836.735255527233,23.2426459868676,1.72212e-05,0.00012839906,7,29,4.42755379310345e-06,2.46017142857143e-06,2.039739962,6.67
"436",31,"P_22_12_6","22-May","f",0.00018697822,39,4.79431333333333e-06,632.287857883099,16.2125091764897,9.31932e-06,0.0001776589,10,29,6.12616896551724e-06,9.31932e-07,3.177118696,17.33
"437",31,"P_22_12_8","30-May","m",0.911439359,59,0.0154481247288136,8452188.36071315,143257.429842596,0,0.911439359,0,59,0.0154481247288136,0,1.845277307,1
"439",32,"P_22_6_1","28-May","f",0.00037748213,57,6.62249350877193e-06,23.023138193219,0.403914705144193,1.7974e-07,0.00037730239,6,51,7.39808607843137e-06,2.99566666666667e-08,2.382730926,7.67
"440",32,"P_22_6_1","26-May","f",0.0027390493457107,63,4.34769737414397e-05,5013.31480261485,79.576425438331,0,0.0027390493457107,0,63,4.34769737414397e-05,0,1.985838815,9.67
"441",32,"P_22_6_13","25-May","m",4.67574e-05,24,1.948225e-06,50.8085933329738,2.11702472220724,4.28221e-05,3.9353e-06,15,9,4.37255555555556e-07,2.85480666666667e-06,2.39838667,1.9
"442",32,"P_22_6_13","24-May","m",0.0007611092789825,48,1.58564433121354e-05,698.87009520266,14.5597936500554,1.16729e-05,0.0007494363789825,5,43,1.7428752999593e-05,2.33458e-06,1.993831387,1.1
"443",32,"P_22_6_2","25-May","m",0.0001807538,30,6.02512666666667e-06,317.128520896568,10.5709506965523,1.81622e-05,0.0001625916,9,21,7.74245714285714e-06,2.01802222222222e-06,1.468302628,1.6
"444",32,"P_22_6_2","30-May","m",0.614187856,57,0.0107752255438596,20644.8120299528,362.189684736013,0,0.614187856,0,57,0.0107752255438596,0,1.069407644,1.6
"445",32,"P_22_6_3","30-May","m",2.47196e-05,19,1.30103157894737e-06,39.8373245972294,2.09670129459102,1.97335e-05,4.9861e-06,11,8,6.232625e-07,1.79395454545455e-06,1.5280515,1
"446",32,"P_22_6_3","26-May","m",9.652232e-05,32,3.0163225e-06,2731.61775850679,85.3630549533371,4.810712e-05,4.84152e-05,16,16,3.02595e-06,3.006695e-06,1.634440061,1
"447",32,"P_22_6_4","23-May","f",0.0001909288,30,6.36429333333333e-06,4470.71151347092,149.023717115697,2.92977e-05,0.0001616311,15,15,1.07754066666667e-05,1.95318e-06,1.604808276,25
"448",32,"P_22_6_4","29-May","f",0.0002092459,47,4.45204042553191e-06,2766.72163336644,58.8664177312008,2.1925e-06,0.0002070534,10,37,5.59603783783784e-06,2.1925e-07,1.074934291,16.33
"449",32,"P_22_6_5","22-May","f",0.0003794651,43,8.82476976744186e-06,26.9500276421704,0.626744828887683,1.0686e-05,0.0003687791,3,40,9.2194775e-06,3.562e-06,1.639661701,7
"450",32,"P_22_6_5","25-May","f",0.000101411074,51,1.98845243137255e-06,564.349220174357,11.0656709838109,1.6684774e-05,8.47263e-05,14,37,2.2899e-06,1.19176957142857e-06,1.758122277,2.67
"451",33,"P_24_5_14","26-May","f",0.0007611491116012,61,1.24778542885443e-05,11403.5467298341,186.943389013674,4.16555e-05,0.0007194936116012,8,53,1.35753511622868e-05,5.2069375e-06,1.420573756,4.666666667
"452",33,"P_24_5_14","23-May","f",0.0022213340756727,61,3.64153127159459e-05,52863.083024207,866.607918429623,0,0.0022213340756727,0,61,3.64153127159459e-05,0,2.201995029,6.666666667
"453",33,"P_24_5_15","28-May","f",0.005252995108578,66,7.95908349784545e-05,5907.15453826008,89.5023414887891,0,0.005252995108578,0,66,7.95908349784545e-05,0,1.344978433,6.67
"455",33,"P_24_5_16","24-May","f",0.000182661993,33,5.53521190909091e-06,49.6616295262153,1.50489786443077,2.93408e-05,0.000153321193,17,16,9.5825745625e-06,1.72592941176471e-06,1.239788411,12
"456",33,"P_24_5_17","30-May","m",0.84503292782783,60,0.0140838821304638,72148.8605302878,1202.48100883813,0,0.84503292782783,0,60,0.0140838821304638,0,1.19663075,2
"457",33,"P_24_5_17","27-May","m",0.001058284017647,54,1.95978521786481e-05,8026.12904978682,148.632019440497,3.413e-06,0.001054871017647,3,51,2.06837454440588e-05,1.13766666666667e-06,0.981502053,2
"458",33,"P_24_5_18","25-May","m",0.00043541379,57,7.63883842105263e-06,20817.1832443046,365.21374112815,8.444e-07,0.00043456939,2,55,7.90126163636364e-06,4.222e-07,0.68450615,1.5
"459",33,"P_24_5_6","25-May","m",5.8293783e-05,23,2.53451230434783e-06,105.924107579495,4.60539598171718,5.2143283e-05,6.1505e-06,15,8,7.688125e-07,3.47621886666667e-06,1.013049512,2.2
"460",33,"P_24_5_6","30-May","m",0.113568416,53,0.00214280030188679,6556.7147573467,123.711599195221,0,0.113568416,0,53,0.00214280030188679,0,0.909730376,2.2
"461",33,"P_24_5_8","22-May","f",0.0004258571,44,9.67857045454545e-06,30.241722802889,0.68731188188384,0,0.0004258571,0,44,9.67857045454545e-06,0,2.32760471,17
"462",34,"P_24_6_13","29-May","m",2.621757e-05,29,9.04054137931034e-07,78.2400411411836,2.69793245314426,2.593359e-05,2.8398e-07,20,9,3.15533333333333e-08,1.2966795e-06,1.713028117,1.3
"463",34,"P_24_6_13","24-May","m",0.0012027180112564,55,2.18676002046618e-05,5791.73727725871,105.304314131977,1.1904e-05,0.0011908140112564,2,53,2.24681888916302e-05,5.952e-06,2.479700917,1.1
"464",34,"P_24_6_14","26-May","m",0.000125000368,34,3.67648141176471e-06,170.081012794847,5.00238272926021,2.69644e-05,9.8035968e-05,17,17,5.76682164705882e-06,1.58614117647059e-06,1.955004165,1
"465",34,"P_24_6_14","30-May","m",1.269763e-05,18,7.05423888888889e-07,0.59170823314182,0.03287267961899,8.0135e-06,4.68413e-06,11,7,6.69161428571429e-07,7.285e-07,3.038050891,1
"466",34,"P_24_6_15","24-May","f",0.00045865115886542,44,1.04238899742141e-05,61.4564371452334,1.39673720784621,2.7468e-06,0.00045590435886542,9,35,1.30258388247263e-05,3.052e-07,2.074304212,20
"467",34,"P_24_6_15","27-May","f",0.002575397257,61,4.22196271639344e-05,7713.81991348025,126.456064155414,1.9822527e-05,0.00255557473,4,57,4.48346443859649e-05,4.95563175e-06,1.381881232,23.67
"468",34,"P_24_6_16","23-May","f",0.0008728548,28,3.11733857142857e-05,18996.957808636,678.462778879857,3.22e-05,0.0008406548,1,27,3.1135362962963e-05,3.22e-05,2.560695892,7
"469",34,"P_24_6_16","24-May","f",0.0005294758293576,53,9.99010998787924e-06,3462.39343803973,65.3281780762212,3.05e-07,0.0005291708293576,1,52,1.01763621030308e-05,3.05e-07,1.731031776,2.67
"470",34,"P_24_6_20","29-May","f",0.00031093922,47,6.61572808510638e-06,24.0716847347785,0.512163504995288,5.1352e-06,0.00030580402,6,41,7.45863463414634e-06,8.55866666666667e-07,2.231208219,4
"471",34,"P_24_6_20","26-May","f",0.004531836240546,61,7.4292397386e-05,3508.51790406826,57.5166869519387,0,0.004531836240546,0,61,7.4292397386e-05,0,2.130207186,7.67
"472",34,"P_24_6_3","28-May","m",0.00020401934,29,7.03514965517241e-06,1165.95972296932,40.2055076885972,1.67256e-05,0.00018729374,13,16,1.170585875e-05,1.28658461538462e-06,1.400907938,1.2
"473",34,"P_24_6_3","29-May","m",0.00014691261,47,3.12580021276596e-06,144.759049118038,3.0799797684689,5.73754e-05,8.953721e-05,15,32,2.7980378125e-06,3.82502666666667e-06,1.971938325,1.2
"474",34,"P_24_6_4","23-May","m",0.0002982496,27,1.10462814814815e-05,153.027526089676,5.66768615146947,2.86031e-05,0.0002696465,10,17,1.58615588235294e-05,2.86031e-06,2.511951391,1.2
"475",34,"P_24_6_7","29-May","f",0.00017494226,42,4.1652919047619e-06,23.1585023760854,0.551392913716318,1.20124e-05,0.00016292986,4,38,4.28762789473684e-06,3.0031e-06,2.178725036,3.67
"477",35,"P_4_11_1","25-May","m",0.0001453099,26,5.58884230769231e-06,54.7533036368975,2.10589629372683,3.47156e-05,0.0001105943,14,12,9.21619166666667e-06,2.47968571428571e-06,2.002204183,1
"478",35,"P_4_11_1","28-May","m",0.00015166164,33,4.59580727272727e-06,604.709428270202,18.3245281294001,4.741778e-05,0.00010424386,16,17,6.13199176470588e-06,2.96361125e-06,1.321227751,1
"479",35,"P_4_11_10","30-May","m",0.106759929,52,0.00205307555769231,9660190.22179866,185772.888880744,0,0.106759929,0,52,0.00205307555769231,0,1.046861491,1
